Date and Time,Geo Location,Address,Violation,img_path
05/08/2024 08:58,1.23.17540N 103.50.57990E,Address,Traffic violation,D:/ws/vision/yolov9/source/yolov9/dataset/road/result/images/traffic_05082024_0858__12317540N_1035057990E.jpg
05/08/2024 08:58,1.23.17540N 103.50.57990E,Address,Traffic violation,D:/ws/vision/yolov9/source/yolov9/dataset/road/result/images/traffic_05082024_0858__12317540N_1035057990E.jpg
05/08/2024 08:58:3,1.23.17540N 103.50.57990E,Address,Traffic violation,D:/ws/vision/yolov9/source/yolov9/dataset/road/result/images/road_05082024_08583__12317540N_1035057990E.jpg
05/08/2024 08:58:3,1.23.17540N 103.50.57990E,Address,Traffic violation,D:/ws/vision/yolov9/source/yolov9/dataset/road/result/images/traffic_05082024_08583__12317540N_1035057990E.jpg
05/08/2024 08:58:42,1.23.16490N 108.50.58369E,Address,Traffic violation,D:/ws/vision/yolov9/source/yolov9/dataset/road/result/images/road_05082024_085842__12316490N_1085058369E.jpg
05/08/2024 08:58:43,1.23.16490N 103.50.58369E,Address,Traffic violation,D:/ws/vision/yolov9/source/yolov9/dataset/road/result/images/road_05082024_085843__12316490N_1035058369E.jpg
05/08/2024 08:58,1.23.17540N 103.50.57990E,Address,Road Damage,D:/ws/vision/yolov9/source/yolov9/dataset/road/result/images/road_05082024_0858__12317540N_1035057990E.jpg
05/08/2024 08:58,1.23.17540N 103.50.57990E,Address,Traffic violation,D:/ws/vision/yolov9/source/yolov9/dataset/road/result/images/traffic_05082024_0858__12317540N_1035057990E.jpg
05/08/2024 08:58:3,1.23.17540N 103.50.57990E,Address,Road Damage,D:/ws/vision/yolov9/source/yolov9/dataset/road/result/images/road_05082024_08583__12317540N_1035057990E.jpg
05/08/2024 08:58:3,1.23.17540N 103.50.57990E,Address,Traffic violation,D:/ws/vision/yolov9/source/yolov9/dataset/road/result/images/traffic_05082024_08583__12317540N_1035057990E.jpg
05/08/2024 08:58:42,1.23.16490N 108.50.58369E,Address,Road Damage,D:/ws/vision/yolov9/source/yolov9/dataset/road/result/images/road_05082024_085842__12316490N_1085058369E.jpg
05/08/2024 08:58:43,1.23.16490N 103.50.58369E,Address,Road Damage,D:/ws/vision/yolov9/source/yolov9/dataset/road/result/images/road_05082024_085843__12316490N_1035058369E.jpg
05/08/2024 08:58,1.23.17540N 103.50.57990E,Address,Road Damage,D:/ws/vision/yolov9/source/yolov9/dataset/road/result/images/road_05082024_0858__12317540N_1035057990E.jpg
05/08/2024 08:58,1.23.17540N 103.50.57990E,Address,Traffic violation,D:/ws/vision/yolov9/source/yolov9/dataset/road/result/images/traffic_05082024_0858__12317540N_1035057990E.jpg
05/08/2024 08:58:3,1.23.17540N 103.50.57990E,Address,Road Damage,D:/ws/vision/yolov9/source/yolov9/dataset/road/result/images/road_05082024_08583__12317540N_1035057990E.jpg
05/08/2024 08:58:3,1.23.17540N 103.50.57990E,Address,Traffic violation,D:/ws/vision/yolov9/source/yolov9/dataset/road/result/images/traffic_05082024_08583__12317540N_1035057990E.jpg
05/08/2024 08:58:42,1.23.16490N 108.50.58369E,Address,Road Damage,D:/ws/vision/yolov9/source/yolov9/dataset/road/result/images/road_05082024_085842__12316490N_1085058369E.jpg
05/08/2024 08:58:43,1.23.16490N 103.50.58369E,Address,Road Damage,D:/ws/vision/yolov9/source/yolov9/dataset/road/result/images/road_05082024_085843__12316490N_1035058369E.jpg
